ORF,RANK,BIN,evo_rate_norm
YAL001C,3409.0,3Medhigh,0.6156763590391909
YAL002W,4523.0,4High,0.8168683402564566
YAL003W,764.0,0Low,0.13798085605923785
YAL005C,858.0,0Low,0.15495755824453675
YAL007C,2006.0,1Medlow,0.36229004876286797
YAL008W,5132.0,4High,0.926855698031425
YAL009W,1824.0,1Medlow,0.3294202636806935
YAL010C,3628.0,3Medhigh,0.6552284630666426
YAL011W,3907.0,3Medhigh,0.7056167599783276
YAL012W,516.0,0Low,0.09319125880440672
YAL013W,2783.0,2Medium,0.5026187466136898
YAL014C,4765.0,4High,0.8605743182228643
YAL015C,4053.0,3Medhigh,0.7319848293299621
YAL016W,745.0,0Low,0.13454939497923063
YAL017W,2022.0,1Medlow,0.3651797001986635
YAL018C,4392.0,3Medhigh,0.7932093191258804
YAL019W,1532.0,1Medlow,0.2766841249774246
YAL020C,5185.0,4High,0.9364276684124977
YAL021C,1392.0,1Medlow,0.2513996749142135
YAL022C,2065.0,1Medlow,0.3729456384323641
YAL023C,1505.0,1Medlow,0.2718078381795196
YAL024C,3139.0,2Medium,0.5669134910601409
YAL025C,1056.0,0Low,0.19071699476250678
YAL026C,820.0,0Low,0.1480946360845223
YAL027W,4645.0,4High,0.8389019324543977
YAL028W,4819.0,4High,0.8703268918186744
YAL029C,4649.0,4High,0.8396243453133466
YAL030W,646.0,0Low,0.11666967672024563
YAL031C,3894.0,3Medhigh,0.7032689181867438
YAL032C,4233.0,3Medhigh,0.7644934079826621
YAL033W,3549.0,3Medhigh,0.640960809102402
YAL034C,3638.0,3Medhigh,0.6570344952140148
YAL034W-A,4305.0,3Medhigh,0.7774968394437421
YAL035W,1594.0,1Medlow,0.2878815242911324
YAL036C,199.0,0Low,0.03594003973270724
YAL037W,5343.0,4High,0.9649629763409788
YAL038W,236.0,0Low,0.042622358677984466
YAL039C,3393.0,3Medhigh,0.6127867076033954
YAL040C,3613.0,3Medhigh,0.6525194148455843
YAL041W,1451.0,1Medlow,0.2620552645837096
YAL042W,2088.0,1Medlow,0.3770995123713202
YAL043C,3765.0,3Medhigh,0.679971103485642
YAL044C,2210.0,1Medlow,0.3991331045692613
YAL044W-A,4611.0,4High,0.8327614231533321
YAL046C,3443.0,3Medhigh,0.6218168683402564
YAL047C,4969.0,4High,0.8974173740292577
YAL048C,1111.0,1Medlow,0.200650171573054
YAL049C,2785.0,2Medium,0.5029799530431641
YAL051W,2435.0,2Medium,0.4397688278851364
YAL053W,1463.0,1Medlow,0.26422250316055623
YAL054C,397.0,0Low,0.07169947625067727
YAL055W,4912.0,4High,0.8871229907892361
YAL056W,4363.0,3Medhigh,0.787971825898501
YAL058W,5179.0,4High,0.9353440491240744
YAL059W,4191.0,3Medhigh,0.7569080729636988
YAL060W,1979.0,1Medlow,0.357413761964963
YAL061W,1577.0,1Medlow,0.2848112696405996
YAL062W,776.0,0Low,0.14014809463608452
YAL063C,5497.0,4High,0.9927758714105112
YAL067C,1042.0,0Low,0.18818854975618565
YAL068C,3116.0,2Medium,0.5627596171211847
YAR002C-A,1707.0,1Medlow,0.3082896875564385
YAR002W,5139.0,4High,0.9281199205345855
YAR003W,1650.0,1Medlow,0.29799530431641685
YAR007C,781.0,0Low,0.14105111070977064
YAR008W,3635.0,3Medhigh,0.6564926855698031
YAR009C,2887.0,2Medium,0.5214014809463609
YAR014C,4669.0,4High,0.843236409608091
YAR015W,842.0,0Low,0.1520679068087412
YAR018C,1048.0,0Low,0.189272169044609
YAR019C,3306.0,2Medium,0.597074227921257
YAR023C,5518.0,4High,0.9965685389199928
YAR027W,5524.0,4High,0.9976521582084161
YAR028W,5467.0,4High,0.9873577749683944
YAR031W,5509.0,4High,0.9949431099873578
YAR035W,1064.0,0Low,0.19216182048040456
YAR042W,1986.0,1Medlow,0.35867798446812355
YAR050W,5386.0,4High,0.9727289145746795
YAR071W,4029.0,3Medhigh,0.7276503521762687
YBL001C,790.0,0Low,0.14267653964240565
YBL002W,121.0,0Low,0.0218529889832039
YBL003C,67.0,0Low,0.012100415387393896
YBL004W,2502.0,2Medium,0.45186924327253025
YBL005W,3610.0,3Medhigh,0.6519776052013726
YBL005W-B,2937.0,2Medium,0.530431641683222
YBL006C,4485.0,4High,0.8100054180964421
YBL007C,2215.0,2Medium,0.40003612064294747
YBL008W,2291.0,2Medium,0.41376196496297635
YBL009W,4624.0,4High,0.835109264944916
YBL010C,4836.0,4High,0.8733971464692072
YBL011W,1995.0,1Medlow,0.36030341340075855
YBL013W,5310.0,4High,0.9590030702546505
YBL014C,4594.0,4High,0.8296911685027993
YBL015W,244.0,0Low,0.044067184395882246
YBL016W,938.0,0Low,0.16940581542351454
YBL017C,3776.0,3Medhigh,0.6819577388477515
YBL018C,3828.0,3Medhigh,0.6913491060140871
YBL019W,4033.0,3Medhigh,0.7283727650352176
YBL020W,1401.0,1Medlow,0.25302510384684845
YBL021C,374.0,0Low,0.06754560231172115
YBL022C,1222.0,1Medlow,0.22069712840888567
YBL023C,298.0,0Low,0.05381975799169225
YBL024W,920.0,0Low,0.16615495755824453
YBL025W,2399.0,2Medium,0.43326711215459635
YBL026W,139.0,0Low,0.0251038468484739
YBL027W,109.0,0Low,0.019685750406357234
YBL028C,3573.0,3Medhigh,0.6452952862560953
YBL029C-A,3494.0,3Medhigh,0.6310276322918548
YBL029W,4056.0,3Medhigh,0.7325266389741737
YBL030C,575.0,0Low,0.10384684847390284
YBL031W,4443.0,4High,0.8024200830774788
YBL032W,1749.0,1Medlow,0.31587502257540184
YBL033C,1785.0,1Medlow,0.3223767383059418
YBL034C,4298.0,3Medhigh,0.7762326169405815
YBL035C,2375.0,2Medium,0.428932635000903
YBL036C,2622.0,2Medium,0.47354162904099695
YBL037W,1739.0,1Medlow,0.3140689904280296
YBL038W,1596.0,1Medlow,0.28824273072060685
YBL039C,561.0,0Low,0.10131840346758172
YBL040C,3209.0,2Medium,0.5795557160917464
YBL041W,227.0,0Low,0.040996929745349464
YBL042C,2025.0,1Medlow,0.3657215098428752
YBL043W,4983.0,4High,0.8999458190355788
YBL045C,1385.0,1Medlow,0.2501354524110529
YBL046W,4712.0,4High,0.8510023478417916
YBL047C,2202.0,1Medlow,0.39768827885136354
YBL049W,3849.0,3Medhigh,0.6951417735235688
YBL050W,640.0,0Low,0.11558605743182229
YBL051C,2602.0,2Medium,0.46992956474625247
YBL052C,4707.0,4High,0.8500993317681055
YBL054W,4014.0,3Medhigh,0.7249413039552104
YBL055C,3732.0,3Medhigh,0.6740111973993137
YBL056W,1726.0,1Medlow,0.31172114863644573
YBL057C,2861.0,2Medium,0.5167057973631931
YBL058W,3258.0,2Medium,0.5884052736138703
YBL059C-A,1581.0,1Medlow,0.28553368249954847
YBL059W,5155.0,4High,0.931009571970381
YBL060W,4887.0,4High,0.8826079104208054
YBL061C,3075.0,2Medium,0.5553548853169586
YBL063W,4030.0,3Medhigh,0.727830955391006
YBL064C,1094.0,0Low,0.19757991692252122
YBL066C,2018.0,1Medlow,0.36445728733971466
YBL067C,3914.0,3Medhigh,0.7068809824814881
YBL068W,1069.0,0Low,0.19306483655409065
YBL069W,1472.0,1Medlow,0.26584793209319124
YBL071W-A,1403.0,1Medlow,0.2533863102763229
YBL072C,173.0,0Low,0.03124435614953946
YBL074C,4784.0,4High,0.8640057793028716
YBL075C,909.0,0Low,0.16416832219613509
YBL076C,624.0,0Low,0.11269640599602673
YBL078C,111.0,0Low,0.02004695683583168
YBL079W,2155.0,1Medlow,0.3891999277587141
YBL080C,3130.0,2Medium,0.5652880621275058
YBL081W,4951.0,4High,0.8941665161639877
YBL082C,4729.0,4High,0.8540726024923244
YBL084C,2317.0,2Medium,0.41845764854614415
YBL085W,3713.0,3Medhigh,0.6705797363193065
YBL086C,2697.0,2Medium,0.4870868701462886
YBL087C,34.0,0Low,0.006140509301065559
YBL088C,4009.0,3Medhigh,0.7240382878815242
YBL089W,3822.0,3Medhigh,0.6902654867256637
YBL090W,3843.0,3Medhigh,0.6940581542351454
YBL091C,1138.0,1Medlow,0.205526458370959
YBL091C-A,5424.0,4High,0.9795918367346939
YBL092W,398.0,0Low,0.07188007946541448
YBL093C,1466.0,1Medlow,0.2647643128047679
YBL095W,4132.0,3Medhigh,0.7462524832942027
YBL097W,3468.0,3Medhigh,0.626331948708687
YBL098W,2746.0,2Medium,0.4959364276684125
YBL099W,259.0,0Low,0.04677623261694058
YBL100W-B,3790.0,3Medhigh,0.6844861838540726
YBL101C,3680.0,3Medhigh,0.6646198302329781
YBL102W,1533.0,1Medlow,0.27686472819216185
YBL103C,3059.0,2Medium,0.5524652338811631
YBL104C,1228.0,1Medlow,0.22178074769730902
YBL105C,1235.0,1Medlow,0.22304497020046957
YBL106C,2522.0,2Medium,0.4554813075672747
YBL107C,4753.0,4High,0.8584070796460177
YBL111C,4900.0,4High,0.8849557522123894
YBR001C,959.0,0Low,0.1731984829329962
YBR002C,2279.0,2Medium,0.41159472638612965
YBR003W,1046.0,0Low,0.18891096261513454
YBR004C,3493.0,3Medhigh,0.6308470290771175
YBR005W,5161.0,4High,0.9320931912588044
YBR006W,770.0,0Low,0.1390644753476612
YBR007C,3971.0,3Medhigh,0.7171753657215099
YBR008C,2156.0,1Medlow,0.3893805309734513
YBR009C,8.0,0Low,0.0014448257178977786
YBR010W,2.0,0Low,0.00036120642947444465
YBR011C,465.0,0Low,0.08398049485280838
YBR012W-B,2631.0,2Medium,0.47516705797363196
YBR013C,5515.0,4High,0.9960267292757811
YBR014C,4714.0,4High,0.851363554271266
YBR015C,3396.0,3Medhigh,0.613328517247607
YBR016W,1890.0,1Medlow,0.3413400758533502
YBR017C,1359.0,1Medlow,0.24543976882788512
YBR018C,2040.0,1Medlow,0.36843055806393354
YBR019C,1456.0,1Medlow,0.2629582806573957
YBR020W,1731.0,1Medlow,0.3126241647101318
YBR021W,1086.0,0Low,0.19613509120462344
YBR022W,4154.0,3Medhigh,0.7502257540184215
YBR023C,860.0,0Low,0.1553187646740112
YBR024W,2772.0,2Medium,0.5006321112515802
YBR025C,514.0,0Low,0.09283005237493228
YBR026C,1629.0,1Medlow,0.29420263680693515
YBR028C,2236.0,2Medium,0.4038287881524291
YBR029C,796.0,0Low,0.14376015893082897
YBR030W,4503.0,4High,0.8132562759617121
YBR031W,176.0,0Low,0.031786165793751125
YBR033W,5401.0,4High,0.9754379627957378
YBR034C,619.0,0Low,0.11179338992234061
YBR035C,940.0,0Low,0.16976702185298898
YBR036C,2921.0,2Medium,0.5275419902474264
YBR037C,1664.0,1Medlow,0.30052374932273795
YBR038W,693.0,0Low,0.12515802781289506
YBR039W,811.0,0Low,0.1464692071518873
YBR040W,2716.0,2Medium,0.49051833122629585
YBR041W,1293.0,1Medlow,0.23351995665522846
YBR042C,2541.0,2Medium,0.4589127686472819
YBR043C,2405.0,2Medium,0.43435073144301967
YBR044C,4409.0,3Medhigh,0.7962795737764132
YBR045C,5014.0,4High,0.9055445186924327
YBR046C,2293.0,2Medium,0.4141231713924508
YBR047W,3525.0,3Medhigh,0.6366263319487087
YBR048W,55.0,0Low,0.009933176810547228
YBR049C,2454.0,2Medium,0.4432002889651436
YBR050C,5316.0,4High,0.9600866895430739
YBR052C,3750.0,3Medhigh,0.6772620552645837
YBR053C,2946.0,2Medium,0.5320570706158569
YBR054W,973.0,0Low,0.17572692793931732
YBR055C,4190.0,3Medhigh,0.7567274697489615
YBR056W,2711.0,2Medium,0.4896153151526097
YBR057C,3811.0,3Medhigh,0.6882788513635543
YBR058C,2430.0,2Medium,0.43886581181145023
YBR058C-A,4788.0,4High,0.8647281921618205
YBR059C,2731.0,2Medium,0.4932273794473542
YBR060C,2732.0,2Medium,0.4934079826620914
YBR061C,816.0,0Low,0.14737222322557342
YBR062C,3978.0,3Medhigh,0.7184395882246704
YBR063C,5528.0,4High,0.998374571067365
YBR065C,4432.0,4High,0.8004334477153693
YBR066C,4897.0,4High,0.8844139425681777
YBR067C,3260.0,2Medium,0.5887664800433448
YBR068C,1754.0,1Medlow,0.31677803864908793
YBR069C,3701.0,3Medhigh,0.6684124977424598
YBR070C,4845.0,4High,0.8750225754018421
YBR071W,4720.0,4High,0.8524471735596894
YBR072W,2352.0,2Medium,0.4247787610619469
YBR073W,2650.0,2Medium,0.47859851905363915
YBR074W,4047.0,3Medhigh,0.7309012100415387
YBR076W,4742.0,4High,0.8564204442839083
YBR077C,2684.0,2Medium,0.4847390283547047
YBR078W,1727.0,1Medlow,0.31190175185118296
YBR079C,1798.0,1Medlow,0.32472458009752575
YBR080C,243.0,0Low,0.043886581181145023
YBR081C,2446.0,2Medium,0.4417554632472458
YBR082C,706.0,0Low,0.12750586960447896
YBR083W,4495.0,4High,0.8118114502438143
YBR084C-A,211.0,0Low,0.03810727830955391
YBR084W,1521.0,1Medlow,0.27469748961531515
YBR085C-A,2283.0,2Medium,0.41231713924507857
YBR085W,588.0,0Low,0.10619469026548672
YBR086C,5032.0,4High,0.9087953765577027
YBR087W,1210.0,1Medlow,0.218529889832039
YBR088C,186.0,0Low,0.03359219794112335
YBR089C-A,593.0,0Low,0.10709770633917284
YBR091C,1141.0,1Medlow,0.20606826801517067
YBR092C,1148.0,1Medlow,0.20733249051833122
YBR093C,1363.0,1Medlow,0.24616218168683401
YBR094W,1817.0,1Medlow,0.32815604117753294
YBR095C,4231.0,3Medhigh,0.7641322015531876
YBR096W,2671.0,2Medium,0.4823911865631208
YBR097W,2931.0,2Medium,0.5293480223947986
YBR098W,4795.0,4High,0.865992414664981
YBR101C,1891.0,1Medlow,0.3415206790680874
YBR102C,2104.0,1Medlow,0.3799891638071158
YBR103W,3331.0,3Medhigh,0.6015893082896876
YBR104W,2429.0,2Medium,0.438685208596713
YBR105C,3711.0,3Medhigh,0.670218529889832
YBR106W,915.0,0Low,0.16525194148455843
YBR107C,4196.0,3Medhigh,0.7578110890373848
YBR108W,5457.0,4High,0.9855517428210222
YBR109C,27.0,0Low,0.004876286797905003
YBR110W,2227.0,2Medium,0.4022033592197941
YBR111C,792.0,0Low,0.14303774607188008
YBR111W-A,2493.0,2Medium,0.45024381433989524
YBR112C,3756.0,3Medhigh,0.6783456745530071
YBR114W,1000.0,0Low,0.18060321473722232
YBR115C,1072.0,0Low,0.19360664619830234
YBR117C,584.0,0Low,0.10547227740653783
YBR118W,31.0,0Low,0.005598699656853892
YBR119W,5081.0,4High,0.9176449340798266
YBR120C,3606.0,3Medhigh,0.6512551923424237
YBR121C,487.0,0Low,0.08795376557702728
YBR122C,3955.0,3Medhigh,0.7142857142857143
YBR123C,1792.0,1Medlow,0.32364096080910243
YBR125C,1159.0,1Medlow,0.20931912588044066
YBR126C,368.0,0Low,0.06646198302329781
YBR127C,182.0,0Low,0.03286978508217446
YBR128C,5008.0,4High,0.9044608994040094
YBR129C,3466.0,3Medhigh,0.6259707422792126
YBR130C,4537.0,4High,0.8193967852627777
YBR131W,4801.0,4High,0.8670760339534044
YBR132C,1256.0,1Medlow,0.22683763770995125
YBR133C,3052.0,2Medium,0.5512010113780025
YBR135W,258.0,0Low,0.04659562940220336
YBR136W,1603.0,1Medlow,0.2895069532237674
YBR137W,2000.0,1Medlow,0.36120642947444465
YBR138C,4333.0,3Medhigh,0.7825537294563844
YBR139W,1347.0,1Medlow,0.24327253025103845
YBR140C,2720.0,2Medium,0.4912407440852447
YBR141C,4395.0,3Medhigh,0.7937511287700921
YBR142W,2239.0,2Medium,0.4043705977966408
YBR143C,127.0,0Low,0.022936608271627235
YBR145W,1778.0,1Medlow,0.3211125158027813
YBR146W,1827.0,1Medlow,0.3299620733249052
YBR147W,3539.0,3Medhigh,0.6391547769550298
YBR148W,5464.0,4High,0.9868159653241828
YBR149W,1878.0,1Medlow,0.33917283727650355
YBR150C,4455.0,4High,0.8045873216543254
YBR151W,2507.0,2Medium,0.45277225934621634
YBR152W,5452.0,4High,0.9846487267473361
YBR153W,3248.0,2Medium,0.5865992414664981
YBR154C,333.0,0Low,0.06014087050749503
YBR155W,1686.0,1Medlow,0.30449702004695683
YBR156C,4479.0,4High,0.8089217988080187
YBR157C,4229.0,3Medhigh,0.7637709951237132
YBR158W,3346.0,3Medhigh,0.6042983565107459
YBR159W,2041.0,1Medlow,0.3686111612786708
YBR160W,164.0,0Low,0.02961892721690446
YBR161W,2315.0,2Medium,0.4180964421166697
YBR162C,1185.0,1Medlow,0.21401480946360846
YBR162W-A,3791.0,3Medhigh,0.6846667870688098
YBR163W,4385.0,3Medhigh,0.7919450966227198
YBR164C,35.0,0Low,0.006321112515802781
YBR165W,5074.0,4High,0.9163807115766661
YBR166C,1121.0,1Medlow,0.20245620372042622
YBR167C,3880.0,3Medhigh,0.7007404731804227
YBR168W,5018.0,4High,0.9062669315513816
YBR169C,1551.0,1Medlow,0.2801155860574318
YBR170C,1942.0,1Medlow,0.35073144301968573
YBR171W,1340.0,1Medlow,0.2420083077478779
YBR172C,5206.0,4High,0.9402203359219794
YBR173C,2320.0,2Medium,0.4189994581903558
YBR175W,2476.0,2Medium,0.44717355968936245
YBR176W,2350.0,2Medium,0.42441755463247244
YBR177C,1993.0,1Medlow,0.3599422069712841
YBR179C,2419.0,2Medium,0.4368791764493408
YBR180W,2623.0,2Medium,0.4737222322557342
YBR181C,191.0,0Low,0.03449521401480946
YBR182C,4929.0,4High,0.8901932454397689
YBR183W,3311.0,2Medium,0.5979772439949431
YBR184W,5487.0,4High,0.9909698392631389
YBR185C,2287.0,2Medium,0.41303955210402743
YBR186W,4066.0,3Medhigh,0.734332671121546
YBR187W,3561.0,3Medhigh,0.6431280476792487
YBR188C,5499.0,4High,0.9931370778399855
YBR189W,81.0,0Low,0.014628860393715009
YBR191W,87.0,0Low,0.015712479682138344
YBR192W,595.0,0Low,0.10745891276864729
YBR193C,2562.0,2Medium,0.46270543615676357
YBR194W,5193.0,4High,0.9378724941303955
YBR195C,2486.0,2Medium,0.4489795918367347
YBR196C,124.0,0Low,0.022394798627415568
YBR197C,5353.0,4High,0.9667690084883511
YBR198C,958.0,0Low,0.173017879718259
YBR199W,3697.0,3Medhigh,0.6676900848835109
YBR200W,1292.0,1Medlow,0.23333935344049125
YBR201W,4544.0,4High,0.8206610077659382
YBR202W,832.0,0Low,0.15026187466136898
YBR203W,3262.0,2Medium,0.5891276864728192
YBR204C,4621.0,4High,0.8345674553007043
YBR205W,2649.0,2Medium,0.4784179158389019
YBR207W,2254.0,2Medium,0.40707964601769914
YBR208C,1240.0,1Medlow,0.22394798627415569
YBR210W,2781.0,2Medium,0.5022575401842153
YBR211C,4236.0,3Medhigh,0.7650352176268738
YBR212W,3298.0,2Medium,0.5956294022033592
YBR213W,3926.0,3Medhigh,0.7090482210583349
YBR214W,1176.0,1Medlow,0.21238938053097345
YBR215W,4728.0,4High,0.8538919992775872
YBR216C,4357.0,3Medhigh,0.7868882066100776
YBR217W,3235.0,2Medium,0.5842513996749142
YBR218C,353.0,0Low,0.06375293480223948
YBR220C,3908.0,3Medhigh,0.7057973631930649
YBR221C,501.0,0Low,0.09048221058334838
YBR222C,854.0,0Low,0.15423514538558786
YBR223C,4718.0,4High,0.8520859671302149
YBR225W,3595.0,3Medhigh,0.6492685569803143
YBR227C,1534.0,1Medlow,0.277045331406899
YBR228W,3807.0,3Medhigh,0.6875564385046053
YBR229C,2988.0,2Medium,0.5396424056348204
YBR230C,4378.0,3Medhigh,0.7906808741195593
YBR231C,3566.0,3Medhigh,0.6440310637529348
YBR233W,3631.0,3Medhigh,0.6557702727108543
YBR233W-A,3988.0,3Medhigh,0.7202456203720426
YBR234C,1147.0,1Medlow,0.20715188730359402
YBR235W,1031.0,0Low,0.1862019143940762
YBR236C,921.0,0Low,0.16633556077298176
YBR237W,2778.0,2Medium,0.5017157305400036
YBR238C,672.0,0Low,0.1213653603034134
YBR239C,1938.0,1Medlow,0.35000903016073687
YBR240C,3592.0,3Medhigh,0.6487267473361026
YBR241C,2455.0,2Medium,0.4433808921798808
